tanggal,waktu,latitude,longitude,kedalaman,magnitudo,daerah
09 Desember 2022,23:02:30,-2.79,128.53,213,4,"Halmahera, Indonesia"
09 Desember 2022,22:43:14,-2.79,123.79,68,3.2,"Minahassa Peninsula, Sulawesi"
09 Desember 2022,21:30:17,-8.05,122.37,10,3.4,"Flores Region, Indonesia"
09 Desember 2022,21:20:16,-10.54,113.33,10,3.7,"South of Java, Indonesia"
09 Desember 2022,20:25:28,-2.38,139.32,12,3.4,Near North Coast of Irian Jaya
09 Desember 2022,20:20:51,-2.77,139.11,15,2.8,Near North Coast of Irian Jaya
09 Desember 2022,19:52:55,-5.19,102.59,10,3.1,"Southern Sumatra, Indonesia"
09 Desember 2022,19:49:42,-9.79,124.33,46,1.6,Timor Region
09 Desember 2022,19:17:45,-10.49,124.21,10,3.5,Timor Region
09 Desember 2022,19:14:27,-8.98,118.52,10,2.3,"Sumbawa Region, Indonesia"
09 Desember 2022,19:06:22,-2.59,101.79,10,2.7,"Southern Sumatra, Indonesia"
09 Desember 2022,18:36:53,-1.17,99.96,178,3.2,"Northern Sumatra, Indonesia"
09 Desember 2022,18:35:31,-0.07,98.86,10,2.4,"Southern Sumatra, Indonesia"
09 Desember 2022,18:33:46,-10.43,113.47,10,4,"South of Java, Indonesia"
09 Desember 2022,18:00:23,-3.08,101.49,37,2.7,"Southern Sumatra, Indonesia"
09 Desember 2022,17:34:41,-9.16,113.59,10,3,"South of Java, Indonesia"
09 Desember 2022,16:44:06,-7.18,107.02,93,2.9,"Java, Indonesia"
09 Desember 2022,16:36:10,-0.76,126.25,10,4.4,Northern Molucca Sea
09 Desember 2022,16:06:20,-0.89,125.52,25,3.3,Northern Molucca Sea
09 Desember 2022,15:32:21,-3.01,119.09,10,2.2,"Sulawesi, Indonesia"
09 Desember 2022,15:08:07,-2.48,121.24,13,1.4,"Sulawesi, Indonesia"
09 Desember 2022,14:04:08,-4.11,134.43,13,3.3,"Irian Jaya Region, Indonesia"
09 Desember 2022,14:01:51,-4.15,134.42,17,3,"Irian Jaya Region, Indonesia"
09 Desember 2022,14:01:29,-9.01,118.67,69,2.7,"Sumbawa Region, Indonesia"
09 Desember 2022,13:51:34,-3.93,128.48,10,4.8,"North of Halmahera, Indonesia"
09 Desember 2022,12:07:46,-0.67,127.86,13,2.6,"Halmahera, Indonesia"
09 Desember 2022,11:34:06,-8.61,121.84,10,3.1,"Flores Region, Indonesia"
09 Desember 2022,9:42:11,-2.97,126.65,30,3.1,Northern Molucca Sea
09 Desember 2022,9:34:14,-0.46,122.42,73,2.2,"Minahassa Peninsula, Sulawesi"
09 Desember 2022,6:55:31,-5.98,104.34,35,4.5,"Southern Sumatra, Indonesia"
09 Desember 2022,6:21:34,-2.76,127.94,14,3.8,Northern Molucca Sea
09 Desember 2022,6:14:30,-0.45,125.02,20,3.9,Northern Molucca Sea
09 Desember 2022,5:31:09,-1.72,135.92,10,3.6,"Irian Jaya Region, Indonesia"
09 Desember 2022,4:39:04,-2.99,128.15,28,2.3,Ceram Sea
09 Desember 2022,4:03:21,-0.03,120.22,10,2.7,"Minahassa Peninsula, Sulawesi"
09 Desember 2022,3:22:34,-3.6,128.91,96,3.1,"Seram, Indonesia"
09 Desember 2022,2:55:13,-2.64,129.45,10,3.2,"Seram, Indonesia"
09 Desember 2022,0:41:47,-0.23,122.83,60,3.1,"Minahassa Peninsula, Sulawesi"
09 Desember 2022,0:32:26,-0.49,122.2,94,4.4,"Minahassa Peninsula, Sulawesi"
09 Desember 2022,0:26:54,-0.66,122.11,58,3.6,"Minahassa Peninsula, Sulawesi"
08 Desember 2022,22:49:51,-0.9,120.29,10,2,"Minahassa Peninsula, Sulawesi"
08 Desember 2022,22:13:20,-1.3,119.47,17,1.9,"Sulawesi, Indonesia"
08 Desember 2022,22:12:26,-2.77,129.51,10,3,"Seram, Indonesia"
08 Desember 2022,22:00:03,-8.45,118.4,107,2.8,"Sumbawa Region, Indonesia"
08 Desember 2022,21:18:23,-6.75,107.1,12,2.1,"Java, Indonesia"
08 Desember 2022,18:47:12,-6.8,107.09,13,1.7,"Java, Indonesia"
08 Desember 2022,16:41:21,-0.29,125.33,10,3.5,Southern Molucca Sea
08 Desember 2022,16:38:16,-6.79,107.08,17,1.6,"Java, Indonesia"
08 Desember 2022,16:11:50,-8.53,118.37,104,2.5,"Sumbawa Region, Indonesia"
08 Desember 2022,15:27:20,-9.33,123.86,31,3.1,Timor Region
08 Desember 2022,14:51:13,-0.34,123.97,190,4.5,"Minahassa Peninsula, Sulawesi"
08 Desember 2022,12:45:41,-1.16,136.78,14,3.8,"Irian Jaya Region, Indonesia"
08 Desember 2022,12:21:38,-8.08,107.91,25,3.3,"Java, Indonesia"
08 Desember 2022,10:45:03,-1.7,124.04,27,3,"Minahassa Peninsula, Sulawesi"
08 Desember 2022,9:35:36,-10.48,113.52,30,3.6,"South of Java, Indonesia"
08 Desember 2022,8:56:16,-3.69,128.08,10,3,"Seram, Indonesia"
08 Desember 2022,8:39:26,-7.39,106.19,28,3.6,"Java, Indonesia"
08 Desember 2022,7:53:27,-10.81,113.58,10,3.9,"South of Java, Indonesia"
08 Desember 2022,7:35:12,-2.36,126.14,31,3.8,Northern Molucca Sea
08 Desember 2022,7:07:36,-6.8,107.09,12,1.6,"Java, Indonesia"
08 Desember 2022,6:29:43,-6.14,130.21,147,4.2,Banda Sea
08 Desember 2022,6:17:51,-1.05,128.86,10,4.1,"Halmahera, Indonesia"
08 Desember 2022,6:09:35,-2.47,139.3,15,4.1,Near North Coast of Irian Jaya
08 Desember 2022,4:59:32,-2.87,98.55,10,2.6,"Northern Sumatra, Indonesia"
08 Desember 2022,4:58:58,-2.57,139.27,46,5.2,Near North Coast of Irian Jaya
08 Desember 2022,3:56:56,-9.5,118.89,12,3.8,"Sumbawa Region, Indonesia"
08 Desember 2022,3:35:17,-1.11,119.85,10,3.5,Celebes Sea
08 Desember 2022,2:49:15,-8.87,110.76,79,4.6,"Java, Indonesia"
08 Desember 2022,2:23:45,-6.83,107.06,10,1.9,"Java, Indonesia"
08 Desember 2022,1:29:10,-0.09,126.63,12,3.3,Southern Molucca Sea
08 Desember 2022,1:03:52,-7.05,106.94,106,1.9,"Java, Indonesia"
08 Desember 2022,0:50:57,-7,106.98,117,5.8,"Java, Indonesia"
